B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
11.052632210526314,7.962710894348425,2.0772757095322363,2.0181298820464653,2.1934058537512557,3.4862637588989402,1.815980811321692
11.052632210526314,8.958049756141978,1.5675954658532119,1.9955715814817547,2.0476275371251003,3.4607284965016487,1.671518620579763
11.052632210526314,9.95338861793553,0.9836697793625525,2.0116349664919686,1.9806961595573394,3.4398560220290655,1.6024862681425163
9.47368489473684,10.948727479729083,1.3946183932944345,2.025853287086312,2.0394352126570787,3.3588795144949595,1.6529396736406061
9.47368489473684,11.944066341522637,1.919646239661799,2.070918334861886,2.169832430880163,3.343525518819372,1.7751325150169697
9.47368489473684,12.93940520331619,2.2524814519967102,2.1329048364327647,2.3210731961604303,3.3323446220614064,1.920203137000358
9.47368489473684,13.934744065109744,2.487551629923486,2.2041031837406053,2.466103518898291,3.325044872207113,2.0609286929903052
9.47368489473684,14.930082926903296,2.6665593300203896,2.2788272771168288,2.596896035178517,3.321322177578433,2.1886003350787124
9.47368489473684,15.92542178869685,2.8095895167158558,2.353468929793035,2.712832108777637,3.320863229986083,2.3021249932397985
9.47368489473684,16.920760650490404,2.9276663105179144,2.4259821916864497,2.815469413535802,3.3233505561660714,2.4027906514274986
9.47368489473684,17.916099512283957,3.0274559960675784,2.495335070394239,2.906743699606543,3.3284685464983226,2.4923832786905007
9.47368489473684,18.91143837407751,3.1132876141854875,2.561101491690482,2.988432544480738,3.3359095076905603,2.5725948143314703
9.47368489473684,19.90677723587106,3.1881285341981047,2.6231976072041228,3.0620361122774966,3.3453790496288596,2.6448741373894165
11.052632210526314,10.948727479729083,1.5082154847335045,2.059704169096169,2.026238115527116,3.423376768465933,1.6410192752553168
11.052632210526314,11.944066341522637,1.9982587055442842,2.1286819480068684,2.1502834309634653,3.411017961256009,1.7570041308697613
11.052632210526314,12.93940520331619,2.315622102613336,2.208193305538399,2.299137019095961,3.402498073017614,1.8996087961051575
11.052632210526314,13.934744065109744,2.543166516478457,2.2909549159955818,2.4437361198806067,3.397525505453347,2.0398124313875705
11.052632210526314,14.930082926903296,2.7181310775853658,2.372681130776604,2.5748279161604395,3.3958004978624436,2.1677254940001967
11.052632210526314,15.92542178869685,2.8589045590716773,2.4511706073035286,2.6912760762354644,3.397019187136196,2.2817334484669174
11.052632210526314,16.920760650490404,2.975750309867146,2.525465908637144,2.7944436629762435,3.4008787880309224,2.3829204887960818
11.052632210526314,17.916099512283957,3.0749467236376127,2.595290677264725,2.8861994815235232,3.4070830111768147,2.47299880532379
11.052632210526314,18.91143837407751,3.1606053710180384,2.6607177494966425,2.968302767690942,3.415347051879489,2.553637629186585
11.052632210526314,19.90677723587106,3.2355626272810953,2.721985150067568,3.042253293138949,3.4254017197988524,2.626282729924417
12.631579526315788,0.9953388617935531,3.4267379586873434,2.7321036092413404,3.1651380679677126,3.833001338118209,2.7998390363511225
12.631579526315788,1.9906777235871063,3.3147054170977266,2.605159298234092,3.0612969293377614,3.7706654799708303,2.691695335420598
12.631579526315788,2.9860165853806593,3.188149324704284,2.4788432541508927,2.9481537772495976,3.7155273952983254,2.575041845483216
12.631579526315788,3.9813554471742125,3.0430295835692838,2.3538667127672572,2.823890307125647,3.666919898740897,2.4480016846948907
12.631579526315788,4.976694308967765,2.8730642024899304,2.233555229179147,2.6866247274622816,3.6243032179057217,2.30874103606341
12.631579526315788,5.972033170761319,2.6678676451883083,2.1251880395414364,2.5349803337339445,3.5872459644587757,2.1560297691623735
12.631579526315788,6.967372032554872,2.4086914506724044,2.040617609280787,2.3699424883163385,3.5553946342082607,1.9910708256563763
12.631579526315788,7.962710894348425,2.0574540648854773,1.993557253060199,2.200082164656861,3.528446078559509,1.82248767557317
12.631579526315788,8.958049756141978,1.5316847584353692,1.9921632643793141,2.0525735593302548,3.5061253617323387,1.6764223975725971
