B,sigma,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
9.47368489473684,0.8421052631578947,1.0062786883389265,2.00668306242464,3.6370082053200083,3.37861407672084,1.6097343604437857
9.47368489473684,0.894736842105263,0.9800804366230121,2.006428603474602,3.634995272242668,3.3786376250385035,1.6079335326513036
9.47368489473684,0.9473684210526315,0.9623415076986499,2.0061881775502015,3.633133681727338,3.378661890581605,1.6062716772034402
9.47368489473684,1.0,0.9537410957613947,2.005961525263523,3.6314210198636987,3.3786868594177437,1.604746540266357
11.052632210526314,0.0,1.7636354941472379,2.028158319328044,3.672865004218125,3.4400000690330153,1.6424372606048045
11.052632210526314,0.05263157894736842,1.7235552496003832,2.027121309041717,3.6692947594079706,3.439984429844552,1.63919566535459
11.052632210526314,0.10526315789473684,1.6826350092355413,2.0261046658610584,3.6658698431975063,3.439969793471955,1.6360884759642493
11.052632210526314,0.15789473684210525,1.6408675123088137,2.0251080394444156,3.6625891048668224,3.439956138241327,1.6331145147242874
11.052632210526314,0.21052631578947367,1.598257047606875,2.0241310902350054,3.6594513235749466,3.43994344325639,1.630272546986282
11.052632210526314,0.2631578947368421,1.554823637080967,2.0231734889455644,3.6564552095013516,3.4399316883594087,1.6275612823321943
11.052632210526314,0.3157894736842105,1.5106084444082672,2.022234916073813,3.653599405221069,3.439920854094564,1.6249793759202444
11.052632210526314,0.3684210526315789,1.4656806949558763,2.021315061446581,3.6508824873008523,3.439910921673594,1.6225254299963907
11.052632210526314,0.42105263157894735,1.4201464080381492,2.020413623790596,3.6483029681032,3.439901872943545,1.620197995560023
11.052632210526314,0.47368421052631576,1.3741592087950132,2.019530310328101,3.64585929778432,3.4398936903564725,1.6179955741721719
11.052632210526314,0.5263157894736842,1.3279333600007568,2.018664836395608,3.6435498664716675,3.439886356940956,1.6159166198942991
11.052632210526314,0.5789473684210527,1.2817588635535453,2.017816925084244,3.6413730066062486,3.439879856275294,1.6139595413455485
11.052632210526314,0.631578947368421,1.236017930917525,2.0169863069002396,3.6393269954344736,3.4398741724622663,1.612122703866182
11.052632210526314,0.6842105263157894,1.1912012023078258,2.0161727194442505,3.637410057634245,3.439869290105348,1.6104044317749837
11.052632210526314,0.7368421052631579,1.147920732486516,2.01537590710828,3.635620368059689,3.43986519428629,1.6088030107083218
11.052632210526314,0.7894736842105263,1.1069150276019069,2.0145956207890747,3.633956054589028,3.4398618705439463,1.6073166900287572
11.052632210526314,0.8421052631578947,1.0690397082269987,2.013831617616934,3.6324152010600823,3.439859304854308,1.60594368529117
11.052632210526314,0.894736842105263,1.0352366043051464,2.01308366069899,3.6309958502780932,3.4398574836116067,1.60468218075466
11.052632210526314,0.9473684210526315,1.006475700622075,2.012351518876016,3.629696007080787,3.4398563936104773,1.6035303319287177
11.052632210526314,1.0,0.9836697793625525,2.0116349664919686,3.6285136414459767,3.4398560220290655,1.6024862681425163
12.631579526315788,0.0,1.763635494147238,2.0557416827792125,3.659708828900746,3.4886214890882887,1.630775940748321
12.631579526315788,0.05263157894736842,1.7274225844488562,2.0543743120181084,3.656973269483133,3.4885900627901427,1.6282998022525919
12.631579526315788,0.10526315789473684,1.6905310526829407,2.053025655223206,3.6543568657652328,3.4885595737893667,1.6259334840388837
12.631579526315788,0.15789473684210525,1.6529553583950156,2.0516954518103785,3.6518584335457778,3.488530004084602,1.6236758295953087
12.631579526315788,0.21052631578947367,1.6146973396104674,2.050383448429531,3.649476745181721,3.488501336245679,1.6215256481067137
12.631579526315788,0.2631578947368421,1.5757685957182548,2.0490893986463097,3.647210530922207,3.4884735533880344,1.61948171564933
12.631579526315788,0.3157894736842105,1.5361934946079037,2.0478130626411053,3.6450584803484523,3.488446639148571,1.6175427764622405
12.631579526315788,0.3684210526315789,1.4960129379565805,2.0465542069241964,3.6430192439109326,3.4884205776628714,1.615707544288667
12.631579526315788,0.42105263157894735,1.4552890286951994,2.045312604066062,3.641091434555187,3.488395353543666,1.6139747037800725
12.631579526315788,0.47368421052631576,1.414110780756809,2.0440880324418704,3.63927362942748,3.488370951860468,1.6123429119561141
12.631579526315788,0.5263157894736842,1.3726009802663137,2.042880275989319,3.637564371651514,3.4883473581203233,1.610810799713472
12.631579526315788,0.5789473684210527,1.3309242294415389,2.041689123978959,3.6359621721673854,3.4883245582495728,1.609376973376703
12.631579526315788,0.631578947368421,1.2892960512362435,2.040514370796289,3.6344655116240916,3.488302538576583,1.6080400162843536
12.631579526315788,0.6842105263157894,1.2479926677680138,2.0393558157348886,3.6330728423169285,3.488281285815376,1.6067984904036803
12.631579526315788,0.7368421052631579,1.2073606501155467,2.03821326279996,3.631782590161321,3.4882607870501112,1.6056509379675103
