sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,panel_id
0.0816326530612245,1.35942857142857,-1.3298684602658672,-0.3171099794223899,0.1710252592890127,A
0.0816326530612245,1.50134693877551,-1.3793743976302348,-0.424742699987542,0.1359514200603685,A
0.0816326530612245,1.64326530612245,-1.4317973512061557,-0.5320959710798399,0.0982989133809706,A
0.0816326530612245,1.78518367346939,-1.4874939487039789,-0.6397718697335373,0.057773830032793,A
0.0816326530612245,1.92710204081633,-1.5468879850378487,-0.7483883433094645,0.0140198071378715,A
0.0816326530612245,2.06902040816327,-1.61048760946428,-0.8585944658296428,-0.033397700350119,A
0.0816326530612245,2.2109387755102,-1.6789079303919223,-0.971087508103945,-0.0850132190153662,A
0.0816326530612245,2.35285714285714,-1.752900912656034,-1.0866316280985289,-0.1414919147424927,A
0.0816326530612245,2.49477551020408,-1.8333949249096195,-1.2060773595534544,-0.2036735876594879,A
0.0816326530612245,2.63669387755102,-1.921546444519518,-1.3303788196309636,-0.272637401085554,A
0.0816326530612245,2.77861224489796,-2.0188050489754135,-1.460600361868467,-0.3498001212681166,A
0.0816326530612245,2.9205306122449,-2.126986040089927,-1.5978911237009317,-0.4370710522719401,A
0.0816326530612245,3.06244897959184,-2.2483203308675668,-1.743374941363305,-0.5371075219017091,A
0.0816326530612245,3.20436734693878,-2.3853673058166396,-1.897825005072856,-0.6537615966497682,A
0.0816326530612245,3.34628571428571,-2.540395655726793,-2.0608170475752945,-0.7929189694468203,A
0.0816326530612245,3.48820408163265,-2.7129249358268717,-2.228707256509138,-0.9642319618763108,A
0.0816326530612245,3.63012244897959,-2.8916551609314567,-2.390509858206628,-1.185201812653081,A
0.0816326530612245,3.77204081632653,-3.0357504703292646,-2.5226701038711856,-1.492858595847762,A
0.0816326530612245,3.91395918367347,-3.0708712620846565,-2.592610371494399,-1.9899854496855345,A
0.0816326530612245,4.05587755102041,-2.9712302359785094,-2.58372038796123,-3.150643174458906,A
0.0816326530612245,4.19779591836735,-2.8019164446032687,-2.514339615705834,-2.3135578356119604,A
0.0816326530612245,4.33971428571429,-2.623885122087394,-2.4171022517124725,-1.6176862986092064,A
0.0816326530612245,4.48163265306122,-2.4600591206714153,-2.314911856645691,-1.221324712655254,A
0.0816326530612245,4.62355102040816,-2.3146228763294556,-2.2183092498234704,-0.9412092623420052,A
0.0816326530612245,4.7654693877551,-2.186133044048321,-2.13077597932878,-0.7227036671284038,A
0.0816326530612245,4.90738775510204,-2.0720307140833785,-2.052731324665601,-0.5422915569101343,A
0.0816326530612245,5.04930612244898,-1.9698952177815408,-1.9834684989513545,-0.3877030304183305,A
0.0816326530612245,5.19122448979592,-1.8777097512325691,-1.9219620646587183,-0.2517220145073407,A
0.0816326530612245,5.33314285714286,-1.7938544776086935,-1.86717654701766,-0.1297411246445028,A
0.0816326530612245,5.4750612244898,-1.717038300608562,-1.8181713972368156,-0.0186350858458449,A
0.0816326530612245,5.61697959183673,-1.6462285665746084,-1.7741248360449826,0.0838169870609276,A
0.0816326530612245,5.75889795918367,-1.5805927704291614,-1.7343279610362117,0.1792532656658398,A
0.0816326530612245,5.90081632653061,-1.5194533362163476,-1.6981691451456566,0.2689199157755788,A
0.0816326530612245,6.04273469387755,-1.4622533105922826,-1.6651167587795686,0.3537901092656879,A
0.0816326530612245,6.18465306122449,-1.408530454237206,-1.6347030858406466,0.4346414470369706,A
0.0816326530612245,6.32657142857143,-1.357897610481437,-1.6065103212602336,0.5121081480801541,A
0.0816326530612245,6.46848979591837,-1.31002772575893,-1.580158649592169,0.5867173482486598,A
0.0816326530612245,6.61040816326531,-1.264642320756672,-1.5552962518111793,0.6589151730949547,A
0.0816326530612245,6.75232653061224,-1.2215025344528827,-1.5315908726761494,0.7290857838081187,A
