B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,panel_id
0.040817306122449,1.50134693877551,-1.345494833978819,-0.3015296815576622,0.0452146635928735,A
0.040817306122449,1.64326530612245,-1.3920592503022713,-0.2839298645523024,0.0019793889523062,A
0.040817306122449,1.78518367346939,-1.4411046391707123,-0.2692548137910732,-0.0445024031910875,A
0.040817306122449,1.92710204081633,-1.4929069956539207,-0.2568611128883281,-0.094686697914204,A
0.040817306122449,2.06902040816327,-1.547789463034121,-0.246275071790687,-0.1491304261269144,A
0.040817306122449,2.2109387755102,-1.6061333253256906,-0.2371418453022235,-0.2085235391490096,A
0.040817306122449,2.35285714285714,-1.6683921372170225,-0.2291914028721373,-0.2737349165914711,A
0.040817306122449,2.49477551020408,-1.735110007177966,-0.2222152900275888,-0.3458799241960228,A
0.040817306122449,2.63669387755102,-1.8069453242521691,-0.2160504644123894,-0.4264232106388857,A
0.040817306122449,2.77861224489796,-1.884701449041988,-0.21056785706785,-0.5173413335284004,A
0.040817306122449,2.9205306122449,-1.9693657580605417,-0.2056641554926012,-0.6213925934426399,A
0.040817306122449,3.06244897959184,-2.0621570350693226,-0.2012558130860987,-0.7425919187351333,A
0.040817306122449,3.20436734693878,-2.16457583619864,-0.1972746265254683,-0.8871116421477039,A
0.040817306122449,3.34628571428571,-2.278435036644552,-0.1936644289095383,-1.0651683218705317,A
0.040817306122449,3.48820408163265,-2.4057938121814613,-0.1903785893116539,-1.2955611633581927,A
0.040817306122449,3.63012244897959,-2.548552649952856,-0.1873781027863444,-1.6191329405115449,A
0.040817306122449,3.77204081632653,-2.706968667344655,-0.1846301151379,-2.1565259286998057,A
0.040817306122449,3.91395918367347,-2.875028689150202,-0.1821067739003787,-3.695307362312512,A
0.040817306122449,4.05587755102041,-3.0289525592201247,-0.1797843250155739,-2.3433926098816333,A
0.040817306122449,4.19779591836735,-3.1148762695002397,-0.1776423967819507,-1.680769073139277,A
0.040817306122449,4.19779591836735,-3.1148762695002397,-0.1776423967819507,-1.680769073139277,A
0.040817306122449,4.19779591836735,-3.1148762695002397,-0.1776423967819507,-1.680769073139277,A
0.040817306122449,4.19779591836735,-3.1148762695002397,-0.1776423967819507,-1.680769073139277,A
0.040817306122449,4.19779591836735,-3.1148762695002397,-0.1776423967819507,-1.680769073139277,A
0.040817306122449,4.19779591836735,-3.1148762695002397,-0.1776423967819507,-1.680769073139277,A
0.040817306122449,4.19779591836735,-3.1148762695002397,-0.1776423967819507,-1.680769073139277,A
0.040817306122449,4.19779591836735,-3.1148762695002397,-0.1776423967819507,-1.680769073139277,A
0.040817306122449,4.33971428571429,-3.0822663769157934,-0.175663428972406,-1.3000185549334158,A
0.040817306122449,4.48163265306122,-2.953589858465089,-0.1738322126171897,-1.029894868059939,A
0.040817306122449,4.62355102040816,-2.790147779458647,-0.172135516356246,-0.8191102800411854,A
0.040817306122449,4.7654693877551,-2.628854597345994,-0.1705617826827647,-0.6453511955463122,A
0.040817306122449,4.90738775510204,-2.481783492574846,-0.1691008792731833,-0.4968854597575283,A
0.040817306122449,5.04930612244898,-2.3506055946576954,-0.1677438928978553,-0.3667778159729566,A
0.040817306122449,5.19122448979592,-2.233859858291124,-0.1664829585943221,-0.2505856428327308,A
0.040817306122449,5.33314285714286,-2.129472088871717,-0.1653111167501708,-0.1452908336283064,A
0.040817306122449,5.4750612244898,-2.0355007646787744,-0.164222193670368,-0.0487486501132348,A
0.040817306122449,5.61697959183673,-1.9503074858616911,-0.163210703857471,0.0406205081134378,A
0.040817306122449,5.75889795918367,-1.87255444634338,-0.1622717614059218,0.1240139368981189,A
0.040817306122449,5.90081632653061,-1.8011582667593171,-0.1614010088706649,0.2023612784981078,A
0.040817306122449,6.04273469387755,-1.7352400112393336,-0.1605945586938199,0.2763993764050774,A
0.040817306122449,6.18465306122449,-1.6740821942175226,-0.1598489360205487,0.3467222081330617,A
0.040817306122449,6.32657142857143,-1.617094509020689,-0.1591610402058916,0.4138162218986257,A
0.040817306122449,6.46848979591837,-1.563787140407262,-0.1585280997845902,0.4780848299122004,A
0.040817306122449,6.61040816326531,-1.513750250460818,-0.1579476448357562,0.5398667707917457,A
0.040817306122449,6.75232653061224,-1.4666381225712393,-0.1574174745232608,0.5994493349896741,A
0.040817306122449,6.89424489795918,-1.4221569015651578,-0.1569356343526766,0.6570785568832761,A
0.040817306122449,7.03616326530612,-1.3800550184523557,-0.1565003933852145,0.7129668826130544,A
0.040817306122449,7.17808163265306,-1.3401156831292074,-0.156110229796391,0.767299382095939,A
0.040817306122449,7.32,-1.3021509044043498,-0.155763810030712,0.8202381935979656,A
0.081633612244898,0.366,-1.0394682058122635,-1.3583317742567669,0.314990760542328,A
0.081633612244898,0.507918367346939,-1.0727321430150956,-1.1109297592211953,0.2883968141167071,A
0.081633612244898,0.649836734693878,-1.1072071130040435,-0.9131758081980133,0.2604138726795719,A
0.081633612244898,0.791755102040816,-1.1430007213481994,-0.7735709326771335,0.2309165531633026,A
0.081633612244898,0.933673469387755,-1.1802285461059898,-0.6729809226897486,0.1997618660911361,A
0.081633612244898,1.07559183673469,-1.219017433145715,-0.5980218029733035,0.1667857819603379,A
0.081633612244898,1.21751020408163,-1.259508684440632,-0.540435363684824,0.1317989821675729,A
0.081633612244898,1.35942857142857,-1.301861446018996,-0.4950439743684202,0.0945815043020739,A
0.081633612244898,1.50134693877551,-1.346256554756545,-0.4584856196675172,0.0548758959306213,A
0.081633612244898,1.64326530612245,-1.3929010994228004,-0.4285001285365545,0.0123783353551042,A
0.081633612244898,1.78518367346939,-1.442033982178052,-0.4035204553605089,-0.0332730555748096,A
0.081633612244898,1.92710204081633,-1.4939328298329462,-0.3824305629938138,-0.0825138419164233,A
0.081633612244898,2.06902040816327,-1.5489227021621093,-0.3644168464691242,-0.1358745659977231,A
0.081633612244898,2.2109387755102,-1.6073871861272209,-0.3488739200075665,-0.1940103382555833,A
0.081633612244898,2.35285714285714,-1.6697826549655852,-0.3353431172067136,-0.2577429407919798,A
0.081633612244898,2.49477551020408,-1.7366567154662742,-0.3234712997170791,-0.3281223859743074,A
0.081633612244898,2.63669387755102,-1.8086721461643225,-0.3129826299634199,-0.4065198028393527,A
0.081633612244898,2.77861224489796,-1.886637847774843,-0.3036588322270138,-0.4947729778745514,A
0.081633612244898,2.9205306122449,-1.9715481762397076,-0.2953251346594994,-0.5954249648641724,A
0.081633612244898,3.06244897959184,-2.0646305564312417,-0.2878400925042467,-0.7121377920184859,A
0.081633612244898,3.20436734693878,-2.1673956754565276,-0.2810881073951927,-0.8504622065770712,A
0.081633612244898,3.34628571428571,-2.281666440439245,-0.2749738564620068,-1.0194088600726166,A
0.081633612244898,3.48820408163265,-2.4095058272132444,-0.2694180873570499,-1.2350903998227347,A
0.081633612244898,3.63012244897959,-2.5527916727006583,-0.2643544100973176,-1.5309141647155846,A
0.081633612244898,3.77204081632653,-2.7116698199197296,-0.2597268217835638,-1.9967542792338175,A
0.081633612244898,3.91395918367347,-2.8797590127438757,-0.2554877788729077,-3.087239302987947,A
0.081633612244898,4.05587755102041,-3.032389464187501,-0.251596679301685,-2.6049473589823116,A
0.081633612244898,4.19779591836735,-3.1148304660420187,-0.2480186620160567,-1.7974971684114656,A
0.081633612244898,4.33971428571429,-3.078124058013141,-0.2447236417143111,-1.375416110683623,A
0.081633612244898,4.48163265306122,-2.947319631248979,-0.2416855405397606,-1.085832642314353,A
0.081633612244898,4.62355102040816,-2.7835416378344076,-0.2388816517640717,-0.8637411614111384,A
0.081633612244898,4.7654693877551,-2.622627740987633,-0.236292131200648,-0.6825934846627837,A
0.081633612244898,4.90738775510204,-2.476095716374712,-0.2338995733800783,-0.528921672768682,A
0.081633612244898,5.04930612244898,-2.345432199253467,-0.2316886679216943,-0.3949474855609011,A
0.081633612244898,5.19122448979592,-2.22913105194084,-0.2296458995857664,-0.2757699900105494,A
0.081633612244898,5.33314285714286,-2.1251163626029324,-0.2277593196615844,-0.1681000361757051,A
0.081633612244898,5.4750612244898,-2.0314561657905696,-0.2260183309622365,-0.069622613394259,A
0.081633612244898,5.61697959183673,-1.946523015744934,-0.2244135243369069,0.0213541868282115,A
0.081633612244898,5.75889795918367,-1.8689887531386409,-0.2229365332101826,0.1061050120682245,A
0.081633612244898,5.90081632653061,-1.7977778315319362,-0.2215799044214948,0.1856143107236182,A
0.081633612244898,6.04273469387755,-1.7320175208644832,-0.2203370023888594,0.2606588919174798,A
0.081633612244898,6.18465306122449,-1.6709952209662975,-0.219201914604904,0.3318627401983626,A
0.081633612244898,6.32657142857143,-1.6141244563662709,-0.2181693743156705,0.3997349862634655,A
0.081633612244898,6.46848979591837,-1.5609184598152752,-0.2172346953488436,0.4646967747056036,A
0.081633612244898,6.61040816326531,-1.5109698244512983,-0.216393719329631,0.5271007811534544,A
0.081633612244898,6.75232653061224,-1.4639347906678273,-0.2156427600327956,0.5872454550576305,A
0.081633612244898,6.89424489795918,-1.4195210948432937,-0.2149785662973517,0.6453858985389305,A
0.081633612244898,7.03616326530612,-1.3774784760249552,-0.2143982835055473,0.7017420547199654,A
0.081633612244898,7.17808163265306,-1.3375912153197127,-0.2138994222101292,0.7565050753079186,A
0.081633612244898,7.32,-1.2996722254009698,-0.2134798328444806,0.8098423311433823,A
0.122449918367347,0.366,-1.039676316053428,-1.4480117623252198,0.3201559094941926,A
0.122449918367347,0.507918367346939,-1.0730073276481584,-1.624922422415633,0.2939764844452305,A
0.122449918367347,0.649836734693878,-1.1075457437452971,-1.396301997670759,0.2664171964959287,A
0.122449918367347,0.791755102040816,-1.143401015218759,-1.1597232273226843,0.2373604201499414,A
0.122449918367347,0.933673469387755,-1.1806902478558892,-0.9874916016974468,0.2066705189462247,A
