sigma,vial_number,time_min,mass_g,permeate_concentration_mM,retentate_concentration_mM
0.5,8,145.85832258333332,0.38009208744042766,10.441754986638804,82.48477357622336
0.5,8,146.93334408333334,0.43367985420662647,10.517049008075945,82.85050204231297
0.5,8,148.00833333333333,0.48709123284521605,10.592376486123563,83.21461567510208
0.5,8,149.08332258333334,0.5403288924140518,10.667738960307984,83.57713518661353
0.5,8,150.15834408333333,0.5933954735401017,10.743137955119881,83.9380810279761
0.5,8,151.23333333333332,0.6462888436940835,10.81856819590262,84.29744119099077
0.5,8,152.30832258333334,0.6990116335270983,10.894031182746383,84.65523603524345
0.5,8,153.38334408333333,0.7515664458012946,10.969528410457219,85.01148566439895
0.5,8,154.45833333333334,0.8039511561639585,11.045054573795525,85.36617814529
0.5,8,155.53332258333333,0.8561683576494068,11.120611157221418,85.7193334923146
0.5,8,156.60834408333332,0.9082206159428181,11.196199644490774,86.07097146890325
0.5,8,157.68333333333334,0.9601058148340591,11.271814715020236,86.42108021660856
0.5,8,158.75832258333332,1.011826510535598,11.34745784910834,86.76967941193531
0.5,8,159.83334408333334,1.0633852324428639,11.42313052847386,87.1167884853036
0.5,8,160.90833333333333,1.114779872466889,11.498827424925137,87.46239565278933
0.5,8,161.98332258333332,1.1660129507846462,11.574550020200883,87.80652026022001
0.5,8,163.05834408333334,1.2170869612779998,11.650299798413196,88.1491814121279
0.5,8,164.13333333333333,1.2679998039619078,11.72607142791555,88.49036739895405
0.5,8,165.20832258333334,1.31875396374955,11.801866394684321,88.83009724293017
0.5,8,166.28334408333333,1.3693518997697702,11.877686187460652,89.16838972967975
0.5,8,167.35833333333332,1.4197915201245317,11.953525473575603,89.50523322385371
0.5,8,168.43332258333334,1.4700752752177162,12.029385744691751,89.84064643101152
0.5,8,169.50834408333333,1.5202055901681972,12.105268495356702,90.17464782468647
0.5,8,170.58333333333334,1.5701803811466233,12.181168393477114,90.50722584357126
0.5,9,171.0,1e-06,12.181168393477114,90.50722584357126
0.5,9,172.28609825,0.05957105429897958,12.271990870644242,90.90310755160829
0.5,9,173.57223508333334,0.11892551815461933,12.36283421298842,91.29700638573284
0.5,9,174.85833333333332,0.1780623680184986,12.4536933895395,91.68891282261198
0.5,9,176.14443158333333,0.23698490360216987,12.5445711275386,92.07885261901426
